Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
玉器,yu4qi4,nom,objet en jade,玉器 
玉米,yu4mi3,nom,maïs,玉米 
政治,zheng4zhi1,nom,politique,政治 
政党,zheng4dang3,nom,parti politique,政党 
政客,zheng4ke4,nom,politicien,政客 
行政,xing2zheng4,nom,administration,行政 
政府,zheng4fu3,nom,gouvernement,政府 
官府,guan1fu3,nom,autorités locales,官府 
高等学府,gao1deng3xue2fu3,nom,établissement d'enseignement supérieur,高等学府 
职业,zhi2ye4,nom ," métier,profession ",職業 
职员,zhi2yuan2,nom,employé,職員 
虑,lü4,verbe ," réfléchir,considérer ",慮 
考虑,kao3lü4,verbe ," réfléchir,considérer ",考慮 
稳,wen3,adjectif ; verbe ," stable,ferme ; stabiliser,calmer ",穩 
稳定,wen3ding4,adjectif ; verbe ," stable ; stabiliser,fixer ",穩定 
安稳,an1wen3,adjectif ," paisible,tranquille ",安穩 
质,zhi4,nom ; verbe ," nature,caractère ; qualité ; matière,substance ; questionner ",質 
性质量,xing4zhi4liang4,nom,qualité,性質量 
变质,bian4zhi4,verbe,s'avarier,變質 
物质,wu4zhi4,nom ," matière,substance,matériel ",物質 
质问,zhi4wen2,verbe,exiger des explication,質問 
量,liang2,verbe ," mesurer ; évaluer,apprécier ",量 
量体温,liang2ti3wen1,verbe,prendre la température,量體溫 
量,liang4,nom,quantité,量 
打量,da3liang,verbe ," dévisager,toiser ",打量 
商量,shang1liang,verbe ," négocier,discuter ",商量 
大量,da4liang4,adjectif,grande quantité,大量 
数量,shu3liang4,nom,quantité,数量 
工作量,gong1zuo4liang4,nom,capacité de travail,工作量 
酒量,jiu3liang4,nom,capacité d'absorption d'alcool,酒量 
量词,liang4ci2,nom,classificateur,量词 
竞,jing4,nom ," compétition,concurrence ",競 
竞选,jing4xuan3,nom,campagne électorale,競選 
争,zheng1,verbe ," se battre pour qqch.; se quereller ; discuter,disputer ",爭 
竞争,jing4zheng1,verbe ," concurrence,entrer en compétition ",競爭 
争取,zheng1qu3,verbe,oeuvrer pour,爭取 
争吵,zheng1chao3,verbe,se quereller,爭吵 
争论,zheng1lun4,verbe,débattre,爭論 
坚,jian1,nom ; adjectif ; adverbe ," ferme,solide; résolument,obstinément ",堅 
坚定,jian1ding4,verbe ; adjectif ," déterminer,résolu ",堅定 
坚决,jian1jue2,adjectif ," ferme,décidé ",堅決 
坚强,jian1qian3,adjectif ," fort,inébranlable ",堅強 
坚信,jian1xin4,verbe,croire fermement,堅信 
持,chi2,verbe ," tenir,saisir ; garder,conserver ",持 
坚持,jian1chi2,verbe ," déterminer,résolu ",堅持 
持久,chi2jiu3,adjectif ," durable,prolongé ",持久 
持续,chi2xu1,verbe,continuer,持續 
弃,qi4,verbe ," abandonner,jeter ",棄
放弃,fang2qi4,verbe,abandonner,放棄 
丢弃,diu1qi4,verbe,se débarrasser de,丟棄 
压,ya1,verbe ," appuyer sur,faire pression ",壓 
压力,ya1li4,nom,pression,壓力 
高压,gao1ya1,nom ," haute pression,haute tension ",高壓 
陪,pei2,verbe,accompagner,陪 
陪同,pei2tong1,verbe,accompagner,陪同 
保,bao3,verbe,défendre ; conserver ; garantir,保 
保安,bao3an1,verbe ; nom ," maintenir la sécurité,vigile ",保安 
保管,bao3guan3,verbe ," conserver,garder ",保管 
保持,bao3chi2,verbe,conserver,保持 
保存,bao3cun2,verbe,garder,保存 
保险,bao3xian3,nom,assurancd,保險 
保修,bao3xiu1,verbe,être garanti,保修 
保证,bao3zheng4,verbe,garantir,保証 
负,fu4,verbe ; nom ," assumer,se charger de ; charge,fardeau ",負 
负担,fu4dan1,verbe ; nom ,"  prendre en charge,fardeau ",負擔 
唯,wei2,adverbe,seulement,唯 
唯一,wei2yi1,adjectif,seulement,唯一 
唯物主义,wei2wu4zhu3yi4,nom,matérialisme,唯物主義 
唯心主义,wei2xin1zhu3yi4,nom,idéalisme,唯心主義 
私,si1,adjectif ; nom ," privé,personnel ; égoïste ",私 
私人,si1ren2,adjectif ; nom ," personnel,particulier ",私人 
私事,si1shi4,nom,affaire privée,私事 
自私,zi4si1,qualificatif,égoïste,自私 
案,an4,nom ," affaire,procès ; document,projet ",案 
案件,an1jian4,nom ," affaire judiciaire,procès ",案件 
答案,da2an4,nom,réponse,答案 
增,zeng1,verbe ," augmenter,accroître ",增 
增加,zeng1jia1,verbe ," augmenter,ajouter ",增加 
增长,zeng1zhang3,verbe ," augmenter,accroître ",增長 
守,shou3,verbe ," défendre ; veiller,garder ; respecter ",守 
守门,shou3men2,verbe ; nom ," garder une porte,concierge ; gardien de but ",守門 
守时,shou3shi2,verbe ; adjectif,être ponctuel,守時 
与,yu3,préposition ," et,ou ",與 
生与死,sheng1yu3si4,nom,vie et mort,生與死 
括,kuo4,verbe ," inclure,comprendre ",括 
包括,bao1kuo4,verbe ," inclure,comprendre ",包括 
括号,kuo4hao4,nom,parenthèse,括號
甚,shen4,verbe ; adverbe ," dépasser,plus que ; très,fort ",甚 
甚至,shen4zhi4,conjonction ," même,voire ",甚至 
渐渐,jian4jian4,adverbe ," petit à petit,progressivement ",漸 
归,gui1,verbe ," retourner,rentrer ; rendre,restituer ",歸 
归国,gui1guo2,verbe,regagner son pays,歸國 
